1;51054501;GARANTIZADO SALARIAL;1;;28;;;;;
1;51054502;GARANTIZADO SALARIAL;1;;28;;;;;
1;51054501;GARANTIZADO SALARIAL;1;;27;;;;;
1;51054502;GARANTIZADO SALARIAL;1;;27;;;;;
1;72054502;AUXILIO DE RODAMIENTO;1;;28;;;;;
1;72054503;AUXILIO DE RODAMIENTO;1;;28;;;;;
2;4;;;;99;51054501;25050101;28;124;3
2;4;;;;99;72054502;25050101;28;125;3
2;4;;;;99;51054501;25050101;27;126;3
2;4;;;;99;13802065;25050101;27;127;3
2;4;;;;105;51054502;25050101;28;124;3
2;4;;;;105;72054503;25050101;28;125;3
2;4;;;;105;51054502;25050101;27;126;3
2;4;;;;105;13802066;25050101;27;127;3
