1;23704501;FONDOS DE APORTES VOLUNTARIOS;1;;10;;;;;
1;72050301;SALARIO INTEGRAL;1;;10;;;;;
1;72051801;COMISIONES;1;;10;;;;;
1;72051901;BONIFICACION DE GESTION;1;;10;;;;;
2;4;;;;2;72050301;25050101;10;;3
2;4;;;;3;72051801;25050101;10;;3
2;4;;;;97;72051901;25050101;10;;3
2;4;;;;12;72051501;25050101;10;;3
2;4;;;;21;72052401;25050101;10;;3
2;4;;;;77;25050101;23650501;10;;3
2;4;;;;149;25050101;23704501;10;;3
2;4;;;;134;25050101;23704501;10;;3
2;4;;;;80;13659501;25050101;10;;3
2;4;;;;92;13659501;25050101;10;;3
2;4;;;;119;13659501;25050101;10;;3
2;4;;;;120;13659501;25050101;10;;3
