1;1;54321;30/01/2020;2000000;30;DIA
18;1;54321;30/01/2020;80000;30;DIA
19;1;54321;30/01/2020;80000;30;DIA
1;1;54321;28/02/2020;2000000;30;DIA
18;1;54321;28/02/2020;80000;30;DIA
19;1;54321;28/02/2020;80000;30;DIA
1;1;54321;30/03/2020;2000000;30;DIA
18;1;54321;30/03/2020;80000;30;DIA
19;1;54321;30/03/2020;80000;30;DIA
1;1;54321;30/04/2020;2000000;30;DIA
18;1;54321;30/04/2020;80000;30;DIA
19;1;54321;30/04/2020;80000;30;DIA
1;1;54321;30/05/2020;2000000;30;DIA
18;1;54321;30/05/2020;80000;30;DIA
19;1;54321;30/05/2020;80000;30;DIA
1;1;54321;30/06/2020;2000000;30;DIA
18;1;54321;30/06/2020;80000;30;DIA
19;1;54321;30/06/2020;80000;30;DIA
58;1;54321;30/06/2020;1000000;180;DIA
1;1;54321;30/07/2020;2000000;30;DIA
18;1;54321;30/07/2020;80000;30;DIA
19;1;54321;30/07/2020;80000;30;DIA
1;1;54321;30/08/2020;2000000;30;DIA
18;1;54321;30/08/2020;80000;30;DIA
19;1;54321;30/08/2020;80000;30;DIA
1;1;54321;30/09/2020;2000000;30;DIA
18;1;54321;30/09/2020;80000;30;DIA
19;1;54321;30/09/2020;80000;30;DIA
1;1;54321;30/10/2020;2000000;30;DIA
18;1;54321;30/10/2020;80000;30;DIA
19;1;54321;30/10/2020;80000;30;DIA
