1;510530;CESANTIAS                  ;1;;33;;;;;
1;510527;SUBSIDIO DE TRANSPORTE;1;;33;;;;;
1;510545;AUXILIOS Y/O PAGOS NO SALARIALES;1;;33;;;;;
1;261005;CESANTIAS;1;;33;;;;;
1;510578;SENA;8;117;33;;;;;
1;510575;APORTES I.C.B.F.           ;8;115;33;;;;;
1;510572;APORTES CAJAS DE COMPENSACION FAMILIAR;4;;33;;;;;
1;510570;APORTES A FONDOS DE PENSIONES Y/O CESANT;2;;33;;;;;
1;510569;APORTES ENTIDADES PROMOT. SALUD E.P.S.;3;;33;;;;;
1;510568;ARL;5;;33;;;;;
1;510539;VACACIONES       ;1;;33;;;;;
1;510536;PRIMA DE SERVICIOS          ;1;;33;;;;;
1;510533;INTERESES DE CESANTIAS               ;1;;33;;;;;
1;238030;APORTE PENSIÓN Y/O FONDO DE SOLIDARIDAD;2;;33;;;;;
1;510507;SALARIO INTEGRAL;1;;33;;;;;
1;510506;SALARIO BÁSICO;1;;33;;;;;
1;252005;PRIMA DE SERVICIOS   ;1;;33;;;;;
1;251010;CESANTIAS;1;;33;;;;;
1;252505;VACACIONES;1;;33;;;;;
1;251505;INTERESES DE CESANTIAS;1;;33;;;;;
1;250505;SALARIOS POR PAGAR;1;;33;;;;;
1;237005;APORTE SALUD;3;;33;;;;;
1;237010;Aportes al ICBF, SENA y cajas de compensación;8;115;33;;;;;
1;237006;ARL;5;;33;;;;;
1;236505;RETENCION EN LA FUENTE;1;;33;;;;;
2;4;;;;1;510506;250505;33;;3
2;2;;4;;;510539;252505;33;;2
2;2;;1;;;510536;252005;33;;2
2;2;;3;;;510533;251505;33;;2
2;2;;2;;;510530;251010;33;;2
2;4;;;;2;510507;250505;33;;3
2;4;;;;49;510506;250505;33;;3
2;4;;;;20;510506;250505;33;;3
2;4;;;;17;510506;250505;33;;3
2;3;;;3;;510568;237006;33;;1
2;4;;;;58;252005;250505;33;;3
2;4;;;;67;251010;250505;33;;3
2;4;;;;66;251010;250505;33;;3
2;4;;;;29;252505;250505;33;;3
2;3;;;2;;510569;237005;33;;1
2;4;;;;18;510569;237005;33;;3
2;3;;;1;;510570;238030;33;;1
2;4;;;;19;510570;238030;33;;3
2;4;;;;33;510570;238030;33;;3
2;3;;;7;;510570;238030;33;;1
2;3;;;4;;510572;237010;33;;1
2;3;;;5;;510575;237010;33;;1
2;3;;;6;;510578;237010;33;;1
2;4;;;;84;261005;250505;33;;3
2;4;;;;31;510545;250505;33;;3
2;4;;;;41;510545;250505;33;;3
2;4;;;;82;510545;250505;33;;3
2;4;;;;5;510527;250505;33;;3
2;4;;;;68;250505;250505;33;;3
2;4;;;;14;250505;236505;33;;3
2;4;;;;36;236505;236505;33;;3
2;4;;;;98;250505;250505;33;;3
